Wine_Id,Name,Type,DO,Size,Grape,Ageing,Sight,Smell,Taste,Pairing
0,Montesierra,Tintos,D.O Somontano,,"Cabernet sauvignon,Merlot,Tempranillo",Sin crianza,Cereza picota,"Aroma frescos a grosella negra, cerezas y menta","Carnoso, jugoso y con mucho sabor","Pastas, legumbres, tapas, quesos y embutidos"
1,Vino Faustino VII,Tintos,D.O Rioja,"0,187L",Tempranillo,6 meses en barrica de roble americano,Rojo picota brillante con evolución a granate,"Agradable, frutos rojos y toque dulce por el paso por barrica","Fresco y elegante, notas frutales y barrica","Carnes, patatas a la brasa, pescados y mariscos, quesos de media curación, arroces, pastas, alubias y purés en general"
2,Vino Claret de Tardor,Tintos,D.O Empordà,"0,75L","Cabernet sauvignon,Garnacha",Sin crianza,Rojo guinda brillante con reflejos violáceos,Fruta roja y aromas de crianza,"Ligero, agradable y equilibrado con acidez refrescante","Arroces, entrantes, pastas, jamón, embutidos"
3,Vino Abadal,Tintos,D.O Pla de Bages,"0,75L","Sumoll,Cabernet franc,Tempranillo",4 meses en barrica,Cereza  ,"Menta, violeta y romero","Fresco, elegante y generoso",Con todo
4,Vino Cune ,Tintos,D.O Rioja,"0,375L","Tempranillo,Garnacha",12 meses en barrica de roble americano,Granate con notas rosadas en el menisco,"Frutas rojas, fresas, frambuesas y grosellas, combinadas con vainilla y toffee","Paso suave, fino y elegante con tanino amable y ligera acidez","Carnes, pescados, quesos o ibéricos"
5,Vino Reina Elionor ,Tintos,D.O Terra Alta,"0,75L","Mazuelo,Tempranillo,Garnacha",12 meses en barrica de roble,Rojo rubí intenso,"Frutas rojas maduras, confituras y notas balsámicas","Armonioso, intenso, equilibrado con postgusto persistente y agradable","Carnes, quesos"
6,Vino Casa de la Ermita,Tintos,D.O Jumilla,"0,75L","Syrah,Monastrell",Sin crianza,Rojo púrpura,"Frutas negras, compotas, cereza y ciruela","Aromático, intenso y fresco con gran carga frutal","Carnes rojas, pastas, quesos, embutidos, carnes blancas, aves"
7,Vino Barón de Turís,Tintos,D.O Valencia,"0,75L",Tempranillo,Sin crianza,Rubí con tonos morados,Frutas rojas,"Equilibrado con buenos taninos, de recorrido medio y final agradable","Arroces, aves, embutidos, carnes blancas y rojas, quesos"
8,Vino Coronas,Tintos,D.O Cataluña,"0,75L","Cabernet sauvignon,Tempranillo",9 meses en barrica de roble americano y francés,Rubí oscuro brillante,"Notas florales, frutales y balsámicas","Intenso y expresivo, con tanino elegante","Carnes, quesos cremosos y paella"
9,Vino Cap de Ruc,Tintos,D.O Montsant,"0,75L",Garnacha,4 meses en barrica de roble francés,Color guinda intenso con ribete caoba,"Franco, bien equilibrado entre tonos lácticos y vainilla con la fruta madura","Suave, equilibrado, notas de fruta y taninos suaves","Para beber solo, tapas, pan con tomate"
10, Mo Salinas Monastrell,Tintos,D.O Alicante,,"Monastrell,Cabernet sauvignon",4 meses en barrica de roble francés,Rojo intenso con ribete morado y capa media ,Aromas a frutos rojos frescos con ligeras notas especiadas y recuerdos de panadería ,"Suave, con buena estructura. Final largo de tanino y acidez equilibradas","Arroces, guisos, legumbres ,setas, estofados de carne, embutidos, asados varios y quesos de media curación"
